game_date,stadium_id,top_bottom,bat_order,batter_obp,batter_ops,batter_xbh_rate,batter_vs_rhp_avg,batter_vs_rhp_ops,batter_vs_lhp_avg,batter_vs_lhp_ops
2025-03-30,ベルーナドーム,1,6,0.2708,0.4416,0.0,0.0,0.0,0.333333,0.666667
2025-03-30,ベルーナドーム,1,7,0.2609,0.5184,0.0,0.0,0.0,0.0,0.0
2025-03-30,ベルーナドーム,1,8,0.2683,0.4683,0.0,0.0,0.0,0.5,1.0
2025-03-30,ベルーナドーム,1,9,0.3438,0.6196,0.0,0.0,0.0,,
2025-03-30,マツダスタジアム,0,1,0.6,1.225,0.1,0.5,1.1,0.5,1.35
2025-03-30,マツダスタジアム,0,2,0.1111,0.1111,0.0,0.0,0.25,0.0,0.0
2025-03-30,マツダスタジアム,0,3,0.125,0.625,0.125,0.333333,1.666667,0.0,0.0
2025-03-30,マツダスタジアム,0,4,0.4,1.0667,0.125,0.333333,0.666667,0.5,1.85
2025-03-30,マツダスタジアム,0,5,0.25,0.5,0.0,0.0,0.0,0.4,0.8
2025-03-30,マツダスタジアム,0,6,0.375,0.875,0.125,0.0,0.0,0.6,1.4
2025-03-30,マツダスタジアム,0,7,0.0,0.0,0.0,,,0.0,0.0
2025-03-30,マツダスタジアム,0,8,0.125,0.25,0.0,0.0,0.0,0.5,1.0
2025-03-30,マツダスタジアム,0,9,,,,,,,
2025-03-30,マツダスタジアム,1,1,0.3333,0.6667,0.0,0.166667,0.333333,0.666667,1.333333
2025-03-30,マツダスタジアム,1,2,0.3333,0.4762,0.0,0.333333,0.933333,0.0,0.0
2025-03-30,マツダスタジアム,1,3,0.5556,0.9841,0.0,0.25,0.75,0.666667,1.333333
2025-03-30,マツダスタジアム,1,4,0.125,0.125,0.0,0.0,0.166667,0.0,0.0
2025-03-30,マツダスタジアム,1,5,0.375,0.75,0.0,0.4,0.8,0.333333,0.666667
2025-03-30,マツダスタジアム,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-30,マツダスタジアム,1,7,0.1429,0.4286,0.142857143,0.25,0.75,0.0,0.0
2025-03-30,マツダスタジアム,1,8,0.3333,0.6667,0.0,0.0,0.0,1.0,2.0
2025-03-30,マツダスタジアム,1,9,1.0,2.0,0.0,,,1.0,2.0
2025-03-30,京セラドーム大阪,0,1,0.3095,0.7454,0.111111111,0.666667,2.133333,0.25,0.5
2025-03-30,京セラドーム大阪,0,2,0.2647,0.598,0.111111111,0.4,1.0,0.0,0.0
2025-03-30,京セラドーム大阪,0,3,0.3,0.5222,0.0,1.0,2.0,0.0,0.0
2025-03-30,京セラドーム大阪,0,4,0.3478,0.6593,0.0,0.25,0.65,0.333333,0.833333
2025-03-30,京セラドーム大阪,0,5,0.3333,0.9167,0.333333333,0.5,1.5,,
2025-03-30,京セラドーム大阪,0,6,0.425,0.7901,0.0,0.333333,0.833333,0.0,0.0
2025-03-30,京セラドーム大阪,0,7,0.2471,0.4496,0.0,0.166667,0.333333,0.0,0.0
2025-03-30,京セラドーム大阪,0,8,0.2941,0.4941,0.0,0.5,1.0,1.0,2.0
2025-03-30,京セラドーム大阪,0,9,0.2821,0.5816,0.0,0.0,0.0,0.0,0.0
2025-03-30,京セラドーム大阪,1,1,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2025-03-30,京セラドーム大阪,1,2,0.2759,0.5689,0.111111111,0.0,0.0,0.166667,0.833333
2025-03-30,京セラドーム大阪,1,3,0.3314,0.6679,0.111111111,0.75,1.75,0.4,0.8
2025-03-30,京セラドーム大阪,1,4,0.3625,0.8625,0.0,0.5,1.0,0.2,0.366667
2025-03-30,京セラドーム大阪,1,5,0.3235,0.6902,0.111111111,0.333333,0.666667,0.333333,0.833333
2025-03-30,京セラドーム大阪,1,6,0.3077,0.6018,0.142857143,0.5,2.666667,0.25,0.5
2025-03-30,京セラドーム大阪,1,7,0.2821,0.6514,0.0,0.0,0.0,0.0,0.166667
2025-03-30,京セラドーム大阪,1,8,0.3333,0.8333,1.0,1.0,4.0,0.0,0.0
2025-03-30,京セラドーム大阪,1,9,0.25,0.5212,0.0,1.0,2.0,,
2025-03-30,東京ドーム,0,1,0.2857,0.5714,0.0,0.285714,0.571429,0.0,0.0
2025-03-30,東京ドーム,0,2,0.125,0.25,0.0,0.125,0.25,0.0,0.0
2025-03-30,東京ドーム,0,3,0.2857,1.0,0.142857143,0.333333,1.166667,0.0,0.0
2025-03-30,東京ドーム,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
