name,AB,H,2B,3B,HR,TB,BB,HBP,SF
糸川亮太,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
今井達也,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ウィンゲンター,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
上田大河,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
甲斐野央,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
岸潤一郎,30.0,5.0,3.0,0.0,0.0,8.0,1.0,0.0,0.0
栗山巧,23.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
黒木優太,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
黒田将矢,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
源田壮亮,320.0,67.0,11.0,5.0,0.0,88.0,25.0,2.0,3.0
古賀悠斗,289.0,66.0,8.0,0.0,7.0,95.0,32.0,0.0,0.0
児玉亮涼,47.0,8.0,2.0,0.0,0.0,10.0,4.0,1.0,0.0
