game_date,batter_id,batter_name,pitcher_id,pitcher_name,stadium_id,Home_Away_id,bat_order,inning,top_bottom,out_count,runner1,runner2,runner3,score_diff,batter_hand,pitcher_hand,batter_avg,batter_ops,batter_obp,batter_slg,batter_iso,batter_vs_rhp_avg,batter_vs_rhp_ops,batter_vs_lhp_avg,batter_vs_lhp_ops,pitcher_era,pitcher_k9,pitcher_whip,pitcher_ops,vs_ops,previous_result1,previous_result2,previous_result3,previous_result4,previous_result5,label
2025/3/28,B_0030,牧　秀悟,P_0012,高橋　宏斗,横浜,Home,2,3,1,1,0,0,0,0,右,右,1,2,1,1,0,1,2,,,13.5,2.7,1.2,1.0556,2,左安,,,,,左飛
2025/3/28,B_0031,筒香　嘉智,P_0012,高橋　宏斗,横浜,Home,3,3,1,2,0,0,0,0,左,右,0,0,0,0,0,0,0,,,12.2727,2.4545,1.0909,0.9545,0,中飛,,,,,一飛
2025/3/28,B_0027,O.カリステ,P_0011,東　克樹,横浜,Away,3,4,0,0,0,0,0,0,右,左,1,2,1,1,0,,,1,2,4.9091,4.9091,0.5455,0.4545,2,左安,,,,,三ゴ
2025/3/28,B_0028,石川　昂弥,P_0011,東　克樹,横浜,Away,4,4,0,1,0,0,0,0,右,左,0,0,0,0,0,,,0,0,4.5,4.5,0.5,0.4167,0,左飛,,,,,三振
2025/3/28,B_0033,細川　成也,P_0011,東　克樹,横浜,Away,5,4,0,2,0,0,0,0,右,左,0,0,0,0,0,,,0,0,4.1538,6.2308,0.4615,0.3846,0,二ゴ,,,,,二飛
2025/3/28,B_0032,T.オースティン,P_0012,高橋　宏斗,横浜,Home,4,4,1,0,0,0,0,0,右,右,1,3,1,2,1,1,3,,,11.25,2.25,1,0.8712,3,右２,,,,,三振
2025/3/28,B_0036,宮﨑　敏郎,P_0012,高橋　宏斗,横浜,Home,5,4,1,1,0,0,0,0,右,右,1,2,1,1,0,1,2,,,10.3846,4.1538,0.9231,0.8013,2,左安,,,,,投ゴ
2025/3/28,B_0037,蝦名　達夫,P_0012,高橋　宏斗,横浜,Home,6,4,1,2,0,0,0,0,右,右,,,1,,,,,,,9.6429,3.8571,0.8571,0.7418,,死球,,,,,三ゴ
2025/3/28,B_0034,中田　翔,P_0011,東　克樹,横浜,Away,6,5,0,0,0,0,0,0,右,左,0,0,0,0,0,,,0,0,3.8571,5.7857,0.4286,0.3571,0,三振,,,,,遊安
2025/3/28,B_0035,村松　開人,P_0011,東　克樹,横浜,Away,7,5,0,0,1,0,0,0,左,左,0,0,0,0,0,,,0,0,5.4,5.4,0.6,0.4667,0,二ゴ,,,,,三直
2025/3/28,B_0041,木下　拓哉,P_0011,東　克樹,横浜,Away,8,5,0,1,1,0,0,0,右,左,0,0,0,0,0,,,0,0,5.0625,5.0625,0.5625,0.4375,0,三振,,,,,遊飛
